stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
319,LAHAGE Rue du Meunier,,2.751575,51.385537,,
320,MEIX-DEVANT-VIRTON Pargé,,2.692639,51.364552,,
321,MEIX-DEVANT-VIRTON Pargé,,2.692377,51.365294,,
322,MEIX-DEVANT-VIRTON Place,,2.689324,51.370474,,
323,MEIX-DEVANT-VIRTON Place,,2.689080,51.370461,,
324,MEIX-DEVANT-VIRTON Hôtel Fin Bec,,2.681231,51.371672,,
325,MEIX-DEVANT-VIRTON Hôtel Fin Bec,,2.681783,51.371284,,
326,MEIX-DEVANT-VIRTON Rue de Launoy,,2.692536,51.372200,,
327,MEIX-DEVANT-VIRTON Rue de Launoy,,2.692426,51.372109,,
328,FOUCHES Route d'Etalle n°3,,2.818871,51.532706,,
329,FOUCHES Route d'Etalle n°3,,2.818564,51.532828,,
330,FOUCHES Route d'Etalle n°35,,2.818763,51.529477,,
331,FOUCHES Route d'Etalle n°35,,2.818465,51.528907,,
332,FOUCHES 4 Chemins,,2.814125,51.522499,,
333,FOUCHES 4 Chemins,,2.813816,51.522554,,
334,FOUCHES Chapelle,,2.817385,51.521136,,
335,FOUCHES Chapelle,,2.817126,51.521105,,
336,FOUCHES Ecole,,2.821878,51.521194,,
337,FOUCHES Ecole,,2.821806,51.520906,,
338,FOUCHES Rue des Marais,,2.824671,51.522585,,
339,FOUCHES Rue des Marais,,2.824787,51.522377,,
340,FOUCHES Route de Hachy n°1,,2.826396,51.522149,,
341,FOUCHES Route de Hachy n°1,,2.826632,51.522092,,
342,FOUCHES Route de Hachy n°31,,2.826232,51.518785,,
343,FOUCHES Route de Hachy n°31,,2.826135,51.518427,,
344,FOUCHES Rue de la Vallée,,2.831664,51.515046,,
345,FOUCHES Rue de la Vallée,,2.831552,51.514838,,
346,SAMPONT Goldberg,,2.831439,51.509374,,
347,SAMPONT Goldberg,,2.831498,51.509345,,
348,SAMPONT Route d'Etalle,,2.805424,51.515454,,
349,SAMPONT Route d'Etalle,,2.805292,51.515674,,
350,SAMPONT Chaussée Romaine,,2.818024,51.515636,,
351,SAMPONT Chaussée Romaine,,2.817771,51.515621,,
352,SAMPONT Ecole,,2.814240,51.513499,,
353,SAMPONT Ecole,,2.813921,51.513435,,
354,VILLERS-TORTRU Grand-Route,,2.796782,51.506195,,
355,VILLERS-TORTRU Grand-Route,,2.796594,51.506193,,
356,VANCE Carrefour,,2.791594,51.495927,,
357,VANCE Carrefour,,2.791364,51.496064,,
358,VANCE Eglise,,2.793747,51.492878,,
359,VANCE Eglise,,2.793454,51.493045,,
360,VANCE Rue des Gamelles,,2.793236,51.490570,,
361,VANCE Rue du Gibet,,2.798390,51.488894,,
362,VANCE Rue de la Semois,,2.792990,51.489874,,
363,VANCE Rue de la Semois,,2.792645,51.489726,,
364,VANCE Rue Chavez,,2.786287,51.495728,,
365,VANCE Rue Chavez,,2.786402,51.495891,,
366,CHANTEMELLE Cimetière,,2.768403,51.485193,,
367,CHANTEMELLE Cimetière,,2.768351,51.485608,,
368,CHANTEMELLE Eglise,,2.767266,51.482121,,
369,CHANTEMELLE Eglise,,2.767058,51.482193,,
370,CHANTEMELLE Place de l'Etang,,2.764589,51.482241,,
371,CHANTEMELLE Place de l'Etang,,2.764350,51.482246,,
372,VANCE Rue de Habay n°23,,2.799448,51.491245,,
373,SIVRY Lavoir,,2.793281,51.464486,,
374,SIVRY Lavoir,,2.793161,51.464365,,
