shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
BE.TEC.BE.TEC.B1,4.645468,50.660521,372,91.605793
BE.TEC.BE.TEC.B1,4.645707,50.660740,373,91.641718
BE.TEC.BE.TEC.B1,4.639582,50.658902,374,92.352156
BE.TEC.BE.TEC.B1,4.639338,50.658979,375,92.380553
BE.TEC.BE.TEC.B1,4.637569,50.659153,376,92.578063
BE.TEC.BE.TEC.B1,4.637271,50.659169,377,92.611292
BE.TEC.BE.TEC.B1,4.636967,50.659175,378,92.645026
BE.TEC.BE.TEC.B1,4.636609,50.659157,379,92.684940
BE.TEC.BE.TEC.B1,4.636425,50.659138,380,92.705394
BE.TEC.BE.TEC.B1,4.636201,50.659097,381,92.730710
BE.TEC.BE.TEC.B1,4.636080,50.659072,382,92.744420
BE.TEC.BE.TEC.B1,4.635646,50.658959,383,92.794357
BE.TEC.BE.TEC.B1,4.634852,50.658810,384,92.884021
BE.TEC.BE.TEC.B1,4.634679,50.658797,385,92.903289
BE.TEC.BE.TEC.B1,4.634558,50.658807,386,92.916779
BE.TEC.BE.TEC.B1,4.634469,50.658837,387,92.927283
BE.TEC.BE.TEC.B1,4.634329,50.658904,388,92.944489
BE.TEC.BE.TEC.B1,4.634035,50.659093,389,92.983270
BE.TEC.BE.TEC.B1,4.633920,50.659250,390,93.004839
BE.TEC.BE.TEC.B1,4.633714,50.659604,391,93.050329
BE.TEC.BE.TEC.B1,4.633683,50.659647,392,93.056163
BE.TEC.BE.TEC.B1,4.633147,50.660371,393,93.156050
BE.TEC.BE.TEC.B1,4.631509,50.662585,394,93.461382
BE.TEC.BE.TEC.B1,4.631531,50.662598,395,93.464231
BE.TEC.BE.TEC.B1,4.631568,50.662632,396,93.469707
BE.TEC.BE.TEC.B1,4.631595,50.662668,397,93.474748
BE.TEC.BE.TEC.B1,4.631612,50.662707,398,93.479464
BE.TEC.BE.TEC.B1,4.631617,50.662747,399,93.483961
BE.TEC.BE.TEC.B1,4.631612,50.662788,400,93.488464
BE.TEC.BE.TEC.B1,4.631596,50.662827,401,93.493168
BE.TEC.BE.TEC.B1,4.631575,50.662855,402,93.496970
BE.TEC.BE.TEC.B1,4.631569,50.662864,403,93.498201
BE.TEC.BE.TEC.B1,4.631533,50.662897,404,93.503659
BE.TEC.BE.TEC.B1,4.631488,50.662925,405,93.509566
